"id","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9"
1,1.12,1.31,1.32,1.37,1.72,1.7,1.85,1.75,1.84
2,1.26,1.13,1.21,1.51,0.52,0.5,0.65,0.55,0.64
3,1.19,1.17,1.01,1.27,1.71,1.86,1.8,1.74,1.86
4,1.42,1.21,1.27,1.16,0.51,0.66,0.6,0.54,0.66
5,1.19,1.04,1.17,1.33,1.88,1.78,1.83,1.95,1.81
6,1.13,1.18,1.3,1.15,0.68,0.58,0.63,0.75,0.61
7,1.47,1.22,1.11,1.32,1.75,1.68,1.85,1.8,1.87
8,1.07,1.25,1.22,1.15,0.55,0.48,0.65,0.6,0.67
9,1.15,1.19,1.18,1.39,1.6,1.98,1.75,1.92,1.76
10,1.2,1.18,1.26,1.28,0.4,0.78,0.55,0.72,0.56
11,1.2,1.33,1.12,1.11,1.67,1.91,1.96,1.7,1.9
12,1.18,1.27,1.35,1.14,0.47,0.71,0.76,0.5,0.7
13,1.19,1.08,1.24,1.1,1.92,1.56,1.59,1.81,1.58
14,1.28,1.1,1.29,1.11,0.72,0.36,0.39,0.61,0.38
15,0.97,1.01,1.24,1.09,1.76,1.71,1.68,1.94,1.87
16,1.19,1.12,1.2,1.42,0.56,0.51,0.48,0.74,0.67
17,1.24,1.12,1.14,1.22,1.66,1.78,1.69,1.89,1.81
18,1.23,1.26,1.4,1.13,0.46,0.58,0.49,0.69,0.61
19,1.26,1.26,1.3,1.25,1.76,1.85,1.67,1.78,1.81
20,1.3,1.15,1.2,1.15,0.56,0.65,0.47,0.58,0.61
21,1.25,1.15,1.29,1.29,1.94,1.84,1.71,1.84,1.75
22,1.24,1.12,1.15,1.22,0.74,0.64,0.51,0.64,0.55
23,1.18,1.26,1.18,1.25,1.71,1.91,1.68,1.85,1.76
24,1.15,1.23,1.29,1.2,0.51,0.71,0.48,0.65,0.56
25,1.2,1.13,1.32,1.13,1.68,1.69,1.79,1.8,1.9
26,1.4,1.19,1.06,1.16,0.48,0.49,0.59,0.6,0.7
27,1.35,1.14,1.25,1.25,1.74,1.95,1.82,1.71,1.93
28,1.18,1.34,1.3,1.35,0.54,0.75,0.62,0.51,0.73
29,1.13,1.25,1.33,1.09,1.77,1.91,1.76,1.83,1.8
30,0.99,1.29,1.12,1.31,0.57,0.71,0.56,0.63,0.6
31,1.23,1.24,1.27,1.33,1.83,1.64,1.86,1.84,1.8
32,1.19,1.28,1.13,1.04,0.63,0.44,0.66,0.64,0.6
33,1.16,1.14,1.12,1.2,1.61,1.81,1.81,1.72,1.83
34,1.32,1.19,0.87,1.06,0.41,0.61,0.61,0.52,0.63
35,1.31,1.21,1.01,1.28,1.69,1.62,1.66,1.84,1.89
36,1.15,1.09,1.2,1.38,0.49,0.42,0.46,0.64,0.69
37,1.42,1.38,1.42,1.25,1.63,1.86,1.91,1.71,1.71
38,1.2,1.27,1.25,1.15,0.43,0.66,0.71,0.51,0.51
39,1.05,1.2,0.98,1.1,1.72,1.69,1.8,1.88,1.74
40,1.34,1.23,1.14,1.24,0.52,0.49,0.6,0.68,0.54
41,1.29,1.07,1.28,1.32,1.72,1.87,1.8,1.82,1.93
42,1.26,1.22,1.26,1.31,0.52,0.67,0.6,0.62,0.73
43,1.28,1.16,1.16,1.31,1.7,1.71,1.84,1.82,1.56
44,1.22,1.24,1.25,1.22,0.5,0.51,0.64,0.62,0.36
